Mes;Regional;Ciudad;dependencia;Ftes Fijos;Ftes Variables;Total Ftes;Total Fijo;Total Variable;Total Servicio
MARZO;Centro;BOGOTA D.C.;CARULLA QUINTA CAMACHO;6,727;0;6,727;$ 27.136.174,30; $ -   ;$ 27.136.174,30
MARZO;Centro;BOGOTA D.C.;CARULLA LA SOLEDAD;4,827;-0,171;4,656;$ 18.630.869,24;-$ 751.082,92;$ 17.879.786,32
MARZO;Centro;BOGOTA D.C.;CARULLA GALERIAS;7,866;0,05;7,916;$ 31.617.375,28;$ 189.881,20;$ 31.807.256,48
MARZO;Centro;BOGOTA D.C.;CARULLA EL RETIRO (CAF);4,666;-0,229;4,437;$ 17.929.010,28;-$ 1.001.094,33;$ 16.927.915,95
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 47;3,8;-0,225;3,575;$ 14.608.198,30;-$ 854.465,40;$ 13.753.732,90
MARZO;Centro;BOGOTA D.C.;CARULLA BACATA;1,4;0;1,4;$ 5.316.673,60; $ -   ;$ 5.316.673,60
MARZO;Centro;BOGOTA D.C.;Carulla Express Pontevedra;0;0,965;0,965; $ -   ;$ 3.813.802,81;$ 3.813.802,81
MARZO;Centro;BOGOTA D.C.;CARULLA SMART MARKET;0;0,866;0,866; $ -   ;$ 3.291.274,13;$ 3.291.274,13
MARZO;Centro;BOGOTA D.C.;EXITO QUIRINAL;2;0;2;$ 7.654.323,70; $ -   ;$ 7.654.323,70
MARZO;Centro;BOGOTA D.C.;EXITO NUESTRO BOGOTA;7,5;0;7,5;$ 28.777.558,50; $ -   ;$ 28.777.558,50
MARZO;Centro;BOGOTA D.C.;EXITO LA ESPERANZA;2,996;0;2,996;$ 11.653.789,67; $ -   ;$ 11.653.789,67
MARZO;Centro;BOGOTA D.C.;EXITO CALLE 80;17,999;0;17,999;$ 71.975.618,63; $ -   ;$ 71.975.618,63
MARZO;Centro;BOGOTA D.C.;CARULLA SAN NICOLAS;1;0,149;1,149;$ 3.797.624,00;$ 746.870,70;$ 4.544.494,70
MARZO;Centro;BOGOTA D.C.;CARULLA PLAZA CLARO;4,532;0;4,532;$ 17.491.582,07; $ -   ;$ 17.491.582,07
MARZO;Centro;BOGOTA D.C.;CARULLA PABLO VI;4,531;0,037;4,568;$ 17.649.117,27;$ 186.717,68;$ 17.835.834,95
MARZO;Centro;BOGOTA D.C.;CARULLA CORTIJO;2,665;0;2,665;$ 10.318.993,36; $ -   ;$ 10.318.993,36
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 102;4,863;0,033;4,896;$ 18.727.918,88;$ 165.971,27;$ 18.893.890,15
MARZO;Centro;BOGOTA D.C.;ADMON EDIFICIO BOGOTA;2,564;0,55;3,114;$ 9.747.234,92;$ 2.088.693,20;$ 11.835.928,12
MARZO;Centro;BOGOTA D.C.;GALERIA NORTE;2,918;0;2,918;$ 12.413.518,30; $ -   ;$ 12.413.518,30
MARZO;Centro;BOGOTA D.C.;GALERIA AMERICAS;4,4;0;4,4;$ 18.038.748,85; $ -   ;$ 18.038.748,85
MARZO;Centro;BOGOTA D.C.;GALERIA COMERCIAL EXITO SUBA;2,918;0;2,918;$ 12.413.518,30; $ -   ;$ 12.413.518,30
MARZO;Centro;BOGOTA D.C.;GALERIA COMERCIAL EXITO OCCIDENTE BOGOTA;2;0;2;$ 7.742.937,25; $ -   ;$ 7.742.937,25
MARZO;Centro;BOGOTA D.C.;GALERIA COMERCIAL EXITO COUNTRY;4,4;0;4,4;$ 18.038.748,85; $ -   ;$ 18.038.748,85
MARZO;Centro;BOGOTA D.C.;EXITO COUNTRY;17,5;0;17,5;$ 70.446.029,75; $ -   ;$ 70.446.029,75
MARZO;Centro;BOGOTA D.C.;CARULLA SANTA BARBARA;4,999;0;4,999;$ 19.416.418,83; $ -   ;$ 19.416.418,83
MARZO;Centro;BOGOTA D.C.;CARULLA SAN RAFAEL (CAF);2,097;0;2,097;$ 8.088.238,83; $ -   ;$ 8.088.238,83
MARZO;Centro;BOGOTA D.C.;CARULLA PASADENA (CAF);3,732;0;3,732;$ 14.355.023,36; $ -   ;$ 14.355.023,36
MARZO;Centro;BOGOTA D.C.;CARULLA NIZA;5,729;0;5,729;$ 22.083.191,70; $ -   ;$ 22.083.191,70
MARZO;Centro;BOGOTA D.C.;CARULLA CEDRO BOLIVAR;5,065;0,037;5,102;$ 19.379.138,24;$ 44.306,77;$ 19.423.445,01
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 147;3,398;-0,208;3,19;$ 13.030.072,99;-$ 791.171,67;$ 12.238.901,32
MARZO;Centro;BOGOTA D.C.;CARULLA CALLE 140;8,766;0,049;8,815;$ 33.971.874,28;-$ 1.333.583,35;$ 32.638.290,93
MARZO;SurOccidente;NEIVA;EXITO UNICENTRO NEIVA;2,999;0;2,999;$ 11.614.405,88; $ -   ;$ 11.614.405,88
MARZO;SurOccidente;NEIVA;EXITO SAN PEDRO;10,747;0;10,747;$ 42.596.729,01; $ -   ;$ 42.596.729,01
MARZO;SurOccidente;PITALITO;EXITO PITALITO;4;0;4;$ 15.485.874,50; $ -   ;$ 15.485.874,50
MARZO;SurOccidente;NEIVA;EXITO NEIVA CENTRO;3,866;0;3,866;$ 14.684.146,13; $ -   ;$ 14.684.146,13
MARZO;SurOccidente;LA DORADA;EXITO LA DORADA;2,598;0;2,598;$ 10.001.819,75; $ -   ;$ 10.001.819,75
MARZO;SurOccidente;FLORENCIA;EXITO FLORENCIA;6;0;6;$ 23.228.811,75; $ -   ;$ 23.228.811,75
MARZO;SurOccidente;FLORENCIA;EXITO FLORENCIA CENTRO;8,748;0;8,748;$ 33.229.210,01; $ -   ;$ 33.229.210,01
